log,lat,distance to closest McDonalds
-74.00516,40.71563,0.1
-68.77879,44.8226,1.7
-72.98944,40.94135,2.8
-117.988854,33.717266,1.7
-98.185192,26.304603,2.4
-70.069331,44.003294,6.4
-92.138548,37.823174,4.8
-113.440987,53.478821,0.6
-82.45872,27.33775,2.5
-89.247629,35.540584,16.4
-115.664787,54.132923,0.3
-93.228461,37.2095,1.9
-90.99718,38.44587,6.0
-81.97409,28.02603,1.4
-111.925929,33.584484,2.6
-82.756307,36.862329,10.3
-96.00731,32.70746,12.7
-104.99877,40.41067,4.1
-110.27919,31.55448,3.7
-79.92699,40.46312,0.6
-83.60957,39.22545,15.0
-95.695476,30.388966,0.1
-88.10815,42.97729,1.5
-80.40515,27.3113,3.2
-86.964038,33.610748,5.3
-113.809479,52.233391,0.7
-96.31097,30.60861,1.7
-86.24664,39.75409,1.1
-88.41078,43.78391,3.1
-76.683219,37.27352,2.2
-73.65741,40.59257,3.3
-77.405028,37.650206,3.2
-93.070261,37.270678,9.2
-104.70036,38.3257,4.6
-92.42625,33.824768,25.3
-81.453158,28.577656,1.3
-158.02888,21.49424,2.6
-101.474555,32.265623,2.6
-96.97591,28.81118,1.7
-106.69161,44.35437,31.5
-95.38961,29.77499,1.5
-102.301414,31.864699,2.5
-82.40732,29.65936,2.9
-72.51802,42.13689,1.5
-75.15631,39.98495,0.9
-117.85033,33.73438,1.1
-77.066046,35.111429,1.4
-73.37194,40.70575,0.1
-73.008469,41.245797,0.1
-75.6636047,45.4839363,0.6
