Fiscal Year,Average Participation,Average Benefit Per Person (monthly),Average Benefit Per Person (yearly),Total Benefits(M),Other Costs(M),Total Costs(M)
1969,"2,878",6.63,79.56,228.8,21.7,250.5
1970,"4,340",10.55,126.6,549.7,27.2,576.9
1971,"9,368",13.55,162.6,"1,522.70",53.2,"1,575.90"
1972,"11,109",13.48,161.76,"1,797.30",69.4,"1,866.70"
1973,"12,166",14.6,175.2,"2,131.40",76,"2,207.40"
1974,"12,862",17.61,211.32,"2,718.30",119.2,"2,837.50"
1975,"17,064",21.4,256.8,"4,385.50",233.2,"4,618.70"
1976,"18,549",23.93,287.16,"5,326.50",359,"5,685.50"
1977,"17,077",24.71,296.52,"5,067.00",394,"5,461.00"
1978,"16,001",26.77,321.24,"5,139.20",380.5,"5,519.70"
1979,"17,653",30.59,367.08,"6,480.20",459.6,"6,939.80"
1980,"21,082",34.47,413.64,"8,720.90",485.6,"9,206.50"
1981,"22,430",39.49,473.88,"10,629.90",595.4,"11,225.20"
1982,"21,717",39.17,470.04,"10,208.30",628.4,"10,836.70"
1983,"21,625",42.98,515.76,"11,152.30",694.8,"11,847.10"
1984,"20,854",42.74,512.88,"10,696.10",882.6,"11,578.80"
1985,"19,899",44.99,539.88,"10,743.60",959.6,"11,703.20"
1986,"19,429",45.49,545.88,"10,605.20","1,033.20","11,638.40"
1987,"19,113",45.78,549.36,"10,500.30","1,103.90","11,604.20"
1988,"18,645",49.83,597.96,"11,149.10","1,167.70","12,316.80"
1989,"18,806",51.71,620.52,"11,669.78","1,231.81","12,901.59"
1990,"20,049",58.78,705.36,"14,142.79","1,304.47","15,447.26"
1991,"22,625",63.78,765.36,"17,315.77","1,431.50","18,747.27"
1992,"25,407",68.57,822.84,"20,905.68","1,556.66","22,462.34"
1993,"26,987",67.95,815.4,"22,006.03","1,646.94","23,652.97"
1994,"27,474",69,828,"22,748.58","1,744.87","24,493.45"
1995,"26,619",71.27,855.24,"22,764.07","1,856.30","24,620.37"
1996,"25,543",73.21,878.52,"22,440.11","1,890.88","24,330.99"
1997,"22,858",71.27,855.24,"19,548.86","1,958.68","21,507.55"
1998,"19,791",71.12,853.44,"16,890.49","2,097.84","18,988.32"
1999,"18,183",72.27,867.24,"15,769.40","2,051.52","17,820.92"
2000,"17,194",72.62,871.44,"14,983.32","2,070.70","17,054.02"
2001,"17,318",74.81,897.72,"15,547.39","2,242.00","17,789.39"
2002,"19,096",79.67,956.04,"18,256.20","2,380.82","20,637.02"
2003,"21,250",83.94,1007.28,"21,404.28","2,412.01","23,816.28"
2004,"23,811",86.16,1033.92,"24,618.89","2,480.14","27,099.03"
2005,"25,628",92.89,1114.68,"28,567.88","2,504.13","31,072.01"
2006,"26,549",94.75,1137,"30,187.35","2,715.72","32,903.06"
2007,"26,316",96.18,1154.16,"30,373.27","2,800.25","33,173.52"
2008,"28,223",102.19,1226.28,"34,608.40","3,031.25","37,639.64"
2009,"33,490",125.31,1503.72,"50,359.92","3,260.00","53,619.92"
2010,"40,302",133.79,1605.48,"64,702.16","3,581.30","68,283.47"
2011,"44,709",133.85,1606.2,"71,810.92","3,875.62","75,686.54"
2012,"46,609",133.41,1600.92,"74,619.34","3,791.75","78,411.10"
2013,"47,636",133.07,1596.84,"76,066.32","3,792.71","79,859.03"
2014,"46,664",125.01,1500.12,"69,998.84","4,061.49","74,060.33"
2015,"45,767",126.81,1521.72,"69,645.14","4,301.03","73,946.17"
2016,"44,220",125.4,1504.8,"66,539.27","4,374.28","70,913.55"
2017,"42,317",125.47,1505.64,"63,711.05","4,463.67","68,174.72"
2018,"40,776",124.5,1494,"60,916.85","4,529.55","65,446.40"
2019,"35,703",129.83,1557.96,"55,621.88","4,744.33","60,366.21"
